20220901 013600;1.001560;1.001610;1.001510;1.001590;0
20220901 013700;1.001550;1.001620;1.001530;1.001620;0
20220901 013800;1.001610;1.001830;1.001590;1.001750;0
20220901 013900;1.001740;1.001800;1.001680;1.001740;0
20220901 014000;1.001740;1.001950;1.001720;1.001770;0
20220901 014100;1.001770;1.001880;1.001750;1.001790;0
20220901 014200;1.001780;1.001910;1.001770;1.001900;0
20220901 014300;1.001890;1.001960;1.001860;1.001920;0
20220901 014400;1.001920;1.002020;1.001820;1.001840;0
20220901 014500;1.001850;1.001910;1.001760;1.001860;0
20220901 014600;1.001860;1.001910;1.001800;1.001890;0
20220901 014700;1.001900;1.001950;1.001780;1.001920;0
20220901 014800;1.001910;1.001930;1.001820;1.001840;0
20220901 014900;1.001830;1.001850;1.001690;1.001840;0
20220901 015000;1.001820;1.001830;1.001640;1.001770;0
20220901 015100;1.001770;1.001870;1.001750;1.001790;0
20220901 015200;1.001790;1.001890;1.001720;1.001820;0
20220901 015300;1.001830;1.002020;1.001800;1.001850;0
20220901 015400;1.001880;1.001880;1.001640;1.001670;0
20220901 015500;1.001670;1.001670;1.001510;1.001600;0
20220901 015600;1.001600;1.001660;1.001490;1.001570;0
20220901 015700;1.001570;1.001740;1.001560;1.001720;0
20220901 015800;1.001720;1.001890;1.001670;1.001680;0
20220901 015900;1.001670;1.001770;1.001650;1.001750;0
20220901 020000;1.001750;1.002210;1.001750;1.002210;0
20220901 020100;1.002230;1.002230;1.001790;1.002010;0
20220901 020200;1.002020;1.002050;1.001810;1.001920;0
20220901 020300;1.001920;1.002050;1.001850;1.001850;0
20220901 020400;1.001850;1.001990;1.001680;1.001700;0
20220901 020500;1.001710;1.001790;1.001560;1.001750;0
20220901 020600;1.001750;1.001750;1.001610;1.001660;0
20220901 020700;1.001650;1.001650;1.001540;1.001570;0
20220901 020800;1.001580;1.001690;1.001410;1.001470;0
20220901 020900;1.001480;1.001680;1.001470;1.001610;0
20220901 021000;1.001610;1.001650;1.001430;1.001460;0
20220901 021100;1.001450;1.001480;1.001160;1.001400;0
20220901 021200;1.001410;1.001490;1.001290;1.001300;0
20220901 021300;1.001310;1.001310;1.001220;1.001220;0
20220901 021400;1.001220;1.001430;1.001210;1.001400;0
20220901 021500;1.001410;1.001450;1.001150;1.001390;0
20220901 021600;1.001390;1.001470;1.001300;1.001370;0
20220901 021700;1.001360;1.001480;1.001260;1.001430;0
20220901 021800;1.001430;1.001530;1.001360;1.001410;0
20220901 021900;1.001420;1.001510;1.001360;1.001410;0
20220901 022000;1.001410;1.001460;1.001240;1.001440;0
20220901 022100;1.001440;1.001480;1.001160;1.001230;0
20220901 022200;1.001240;1.001490;1.001240;1.001460;0
20220901 022300;1.001460;1.001560;1.001310;1.001360;0
20220901 022400;1.001360;1.001420;1.001250;1.001310;0
20220901 022500;1.001310;1.001430;1.001060;1.001100;0
