20220501 170400;1.054440;1.055970;1.054440;1.055930;0
20220501 170500;1.055880;1.055880;1.054340;1.054510;0
20220501 170600;1.054510;1.054510;1.054420;1.054510;0
20220501 170700;1.054510;1.054630;1.054220;1.054440;0
20220501 170800;1.054450;1.054510;1.054450;1.054500;0
20220501 170900;1.054500;1.054510;1.054500;1.054510;0
20220501 171000;1.054500;1.054510;1.054500;1.054500;0
20220501 171100;1.054510;1.054510;1.054500;1.054510;0
20220501 171200;1.054650;1.054650;1.054650;1.054650;0
20220501 171300;1.054660;1.054660;1.054650;1.054650;0
20220501 171400;1.054650;1.054650;1.054500;1.054500;0
20220501 171500;1.054500;1.054500;1.054500;1.054500;0
20220501 171600;1.054500;1.054500;1.054500;1.054500;0
20220501 171700;1.054510;1.054510;1.054510;1.054510;0
20220501 171800;1.054500;1.054650;1.054500;1.054530;0
20220501 171900;1.054540;1.054550;1.054540;1.054550;0
20220501 172000;1.054510;1.054540;1.054510;1.054540;0
20220501 172100;1.054500;1.054500;1.054500;1.054500;0
20220501 172200;1.054500;1.054500;1.054500;1.054500;0
20220501 172300;1.054500;1.054500;1.054500;1.054500;0
20220501 172500;1.054500;1.054500;1.054500;1.054500;0
20220501 172600;1.054500;1.054500;1.054500;1.054500;0
20220501 172700;1.054500;1.054500;1.054500;1.054500;0
20220501 172800;1.054500;1.054500;1.054500;1.054500;0
20220501 172900;1.054500;1.054500;1.054500;1.054500;0
20220501 173000;1.054500;1.054690;1.054500;1.054510;0
20220501 173100;1.054510;1.054540;1.054500;1.054540;0
20220501 173200;1.054540;1.054600;1.054540;1.054600;0
20220501 173300;1.054600;1.054630;1.054530;1.054620;0
20220501 173400;1.054610;1.054610;1.054570;1.054570;0
20220501 173500;1.054520;1.054570;1.054520;1.054570;0
20220501 173600;1.054520;1.054570;1.054520;1.054570;0
20220501 173800;1.054620;1.054620;1.054570;1.054610;0
20220501 173900;1.054590;1.054590;1.054570;1.054570;0
20220501 174000;1.054640;1.054650;1.054640;1.054640;0
20220501 174100;1.054630;1.054630;1.054610;1.054610;0
20220501 174200;1.054570;1.054600;1.054570;1.054600;0
20220501 174300;1.054600;1.054610;1.054600;1.054600;0
20220501 174400;1.054600;1.054640;1.054600;1.054640;0
20220501 174500;1.054640;1.054640;1.054630;1.054630;0
20220501 174600;1.054600;1.054610;1.054600;1.054610;0
20220501 174700;1.054600;1.054600;1.054600;1.054600;0
20220501 174800;1.054610;1.054610;1.054610;1.054610;0
20220501 174900;1.054600;1.054640;1.054600;1.054640;0
20220501 175000;1.054640;1.054650;1.054610;1.054610;0
20220501 175100;1.054610;1.054630;1.054610;1.054630;0
20220501 175200;1.054640;1.054640;1.054570;1.054600;0
20220501 175300;1.054600;1.054600;1.054600;1.054600;0
20220501 175400;1.054600;1.054640;1.054590;1.054640;0
20220501 175500;1.054640;1.054640;1.054630;1.054630;0
20220501 175600;1.054630;1.054640;1.054610;1.054610;0
20220501 175700;1.054530;1.054670;1.054530;1.054660;0
20220501 175800;1.054660;1.054750;1.054630;1.054630;0
20220501 175900;1.054630;1.054660;1.054530;1.054530;0
20220501 180000;1.054540;1.054940;1.054540;1.054870;0
20220501 180100;1.054790;1.054870;1.054740;1.054770;0
20220501 180200;1.054770;1.054880;1.054730;1.054870;0
20220501 180300;1.054880;1.054940;1.054860;1.054930;0
20220501 180400;1.054930;1.055010;1.054930;1.054980;0
20220501 180500;1.054970;1.054990;1.054910;1.054970;0
20220501 180600;1.055010;1.055030;1.054930;1.054930;0
20220501 180700;1.054940;1.054940;1.054710;1.054710;0
20220501 180800;1.054680;1.054780;1.054660;1.054780;0
20220501 180900;1.054770;1.054790;1.054770;1.054790;0
20220501 181000;1.054780;1.055050;1.054780;1.055020;0
20220501 181100;1.055010;1.055200;1.055010;1.055130;0
20220501 181200;1.055130;1.055140;1.054860;1.054860;0
20220501 181300;1.054860;1.054860;1.054660;1.054700;0
20220501 181400;1.054690;1.054690;1.054560;1.054660;0
20220501 181500;1.054600;1.054660;1.054510;1.054510;0
20220501 181600;1.054510;1.054550;1.054480;1.054510;0
20220501 181700;1.054510;1.054520;1.054440;1.054450;0
